event_time,event_type,product_id,price,user_id,user_session
2022-10-01 09:42:47 UTC,view,5829376,3,223293700,7076c655-1626-58b8-31f1-4c007730046c
2022-10-01 10:14:19 UTC,view,5802831,3,223293700,93060191-92a4-476d-a274-d0d414b38f75
2022-10-01 10:14:19 UTC,view,5700165,3,223293700,8c0a3419-cfff-44ee-980c-3ff9572463ea
2022-10-01 10:14:20 UTC,view,5700165,3,223293700,5e11d7ce-3b20-4e7a-b1ba-00ec1a4ef9fc
2022-10-01 10:14:21 UTC,view,5723511,3,223293700,03f0d3a2-1d6c-41b8-9819-bc532c6ed935
2022-10-01 10:35:49 UTC,view,5802831,3,223293700,85052e8c-85f5-4ed3-8be3-60849c842547
2022-10-01 10:35:58 UTC,view,5802831,3,223293700,af2d09d3-5cf3-47c0-959c-6ca5fa7f9d96
2022-10-01 10:36:10 UTC,view,5838498,3,223293700,3657e569-bb16-461d-b06b-41a4a6e72ce1
2022-10-01 10:36:26 UTC,view,5810586,3,223293700,58486034-b31c-4842-97b9-acfbe499e9f2
2022-10-01 10:36:32 UTC,view,5804335,3,223293700,0d775d18-6ff1-4b14-90f9-7a7d559895fb
2022-10-01 10:36:40 UTC,view,5869354,3,223293700,c6d1d0cd-90b5-4806-a0a7-3da12efc79c9
2022-10-01 10:36:56 UTC,view,5804335,3,223293700,d209427d-cc8d-46a7-bd56-31d8568641f8
2022-10-01 10:37:15 UTC,view,5804335,3,223293700,04b91dd6-a773-40fb-a804-aa639a129abc
2022-10-01 10:37:53 UTC,view,5804335,3,223293700,fcf0946e-c840-4f99-8a58-cccc7b3ebde4
2022-10-01 10:37:59 UTC,view,5804335,3,223293700,b4a47c2b-8a4e-41dc-b574-5e2e2f243ae7
2022-10-01 10:38:26 UTC,view,5803692,3,223293700,90b9e2d1-b62e-4f23-b0da-5efac443faa6
2022-10-01 10:45:59 UTC,view,5804335,3,223293700,6f0faf9c-91f3-4c0e-9204-5451f55c232e
2022-10-01 10:46:06 UTC,view,5804335,3,223293700,78e75aa3-4088-441b-8916-56a9fe37b9be
2022-10-01 10:46:10 UTC,view,5804335,3,223293700,dbb8b5a1-2bce-40ea-b8ee-9264ac5245b9
2022-10-01 10:46:15 UTC,view,5804335,3,223293700,2333a132-f36c-4f69-883c-bdc73e6d9650
2022-10-01 10:46:17 UTC,view,5821876,3,223293700,f5b18066-6255-4cf6-b8ae-defd894675b1
2022-10-01 10:46:39 UTC,view,5803692,3,223293700,636aa73a-b447-4921-a6d3-b13986d91015
2022-10-01 10:47:50 UTC,view,5887588,3,223293700,2c64f9e5-9ad1-4646-8862-c2d3860ee585
2022-10-01 10:47:54 UTC,view,5887588,3,223293700,6faa7741-4bc2-45d1-a132-316b72fc9d9b
2022-10-01 10:47:55 UTC,view,5887588,3,223293700,2f4b04f3-ee3c-4992-8698-bccc3ca6ad92
2022-10-01 10:47:59 UTC,view,5887567,3,223293700,efac9587-e879-483d-8695-17b5e5bc1ef8
2022-10-01 10:48:05 UTC,view,5865131,3,223293700,f39253ee-104f-4985-ace6-1c795394f1a4
